id,name,type,price_eur,url
43018,Оплата для Марины (Клинические разборы),Счёт/служебное,75.0,https://mig.institute/product/oplata-dlya-mariny-klinicheskie-razbory/
43016,Оплата Миг.Фест 2026,События/фестиваль,45.0,https://mig.institute/product/oplata-mig-fest-2026/
43010,Оплата для Анны (ППК — практик),Счёт/служебное,3300.0,https://mig.institute/product/oplata-dlya-anny-ppk/
43008,Оплата для Александра,Счёт/служебное,80.0,https://mig.institute/product/oplata-dlya-aleksandra/
43007,Оплата 16 модуля по психиатрии для Елизаветы,Счёт/служебное,40.0,https://mig.institute/product/oplata-16-modulya-po-psihiatrii-dlya-elizavety/
43006,Оплата 16 модуля по психиатрии,Счёт/служебное,38.0,https://mig.institute/product/oplata-16-modulya-po-psihiatrii/
42971,Оплата для Галины (МИГ.Фест),Счёт/служебное,45.0,https://mig.institute/product/oplata-dlya-galiny-mig-fest/
42970,Оплата 4-х модулей по психиатрии для Алеси,Счёт/служебное,152.0,https://mig.institute/product/oplata-4-h-modulej-po-psihiatri/
42967,"Оплата для Анны (гештальт-сексология, 1 модуль «практик+»)",Счёт/служебное,122.0,https://mig.institute/product/oplata-dlya-anny-geshtalt-seksologiya-1-modul-praktik/
42966,"Оплата для Сергея (гештальт-сексология, практик+)",Счёт/служебное,1535.0,https://mig.institute/product/oplata-dlya-sergeya-geshtalt-seksologiya-praktik/
42964,Terapia Gestalt y acompañamiento en casos de dependencia y adicción.,Прочее,0.0,https://mig.institute/product/terapia-y-adiccion/
42946,Оплата для Сергея (МИГ.Фест),Счёт/служебное,29.0,https://mig.institute/product/oplata-dlya-sergeya-mig-fest-2/
42928,Оплата МИГ.Феста для Яны,События/фестиваль,29.0,https://mig.institute/product/oplata-mig-festa-dlya-yany/
42927,Оплата 13 встречи группы чтений,Счёт/служебное,5.0,https://mig.institute/product/oplata-13-vstrechi-gruppy-chtenij/
42925,Оплата 5 встречи терапевтической группы,Терапевтические группы,35.0,https://mig.institute/product/oplata-5-vstrechi-terapevticheskoj-gruppy/
42918,Оплата для Виктора (Миг.Фест 2 билета),Счёт/служебное,59.0,https://mig.institute/product/op-5/
42910,Оплата 15 модуля по психиатрии,Счёт/служебное,38.0,https://mig.institute/product/oplata-15-modulya-po-psihiatrii/
42908,Оплата для Елизаветы за 5 модулей по психиатрии,Счёт/служебное,200.0,https://mig.institute/product/oplata-dlya-elizavety-za-5-modulej-po-psihiatrii/
42903,Оплата 10 встречи супервизорской группы,Счёт/служебное,30.0,https://mig.institute/product/oplata-10-vstrechi-supervizorskoj-gruppy/
42901,Оплата для Дианы (МИГ.Фест),Счёт/служебное,35.0,https://mig.institute/product/oplata-dlya-diany-mig-fest/
42897,Предоплата для Нино и Тамаза (гештальт-сексология 3.0),Счёт/служебное,50.0,https://mig.institute/product/predop/
42885,Психосоматика в гештальт-терапии: демо-сессия и супервизия,Супервизия,0.0,https://mig.institute/product/psihosomatika-v-geshtalt-terapii-demo-sessiya-i-superviziya/
42873,Выбрать себя или выбрать отношения?,Прочее,0.0,https://mig.institute/product/vybrat-sebya-ili-vybrat-otnosheniya/
42848,Разговор о депрессии и счастье,Прочее,0.0,https://mig.institute/product/razgovor-o-depressii-i-schaste/
42846,"Оплата для Сергея (тер. группа 2.0 «Я, деньги и то, что между нами)",Счёт/служебное,35.0,https://mig.institute/product/oplata-dlya/
42844,"Оплата для Ирины (1 модуль,  3 ступень)",Счёт/служебное,400.0,https://mig.institute/product/oplata-dlya-iriny-1-modul-3-stupen/
42793,ППК 2026 — Профессионал,ППК,0.0,https://mig.institute/product/ppk-2026-professional/
42792,ППК 2026 — Практик,ППК,0.0,https://mig.institute/product/ppk-2026-praktik/
42791,ППК 2026 — Участник,ППК,0.0,https://mig.institute/product/ppk-2026-uchastnik/
42790,ППК 2026 — Слушатель,ППК,0.0,https://mig.institute/product/ppk-2026-slushatel/
42783,Оплата терапевтической группы 1 модуль (Без стыда и совести),Терапевтические группы,35.0,https://mig.institute/product/oplata-terapevticheskoj-gruppy-1-modul-bez-styda-i-sovesti/
42777,Оплата для Юлии за 2 модуля по психиатрии,Счёт/служебное,72.0,https://mig.institute/product/oplata-dlya-yulii-za-2-modulya-po-psihiatrii/
42773,Оплата 11 встречи группы чтений,Счёт/служебное,5.0,https://mig.institute/product/oplata-11-vstrechi-gruppy-chtenij-2/
42772,Оплата 12 встречи группы чтений,Счёт/служебное,5.0,https://mig.institute/product/oplata-12-vstrechi-gruppy-chtenij/
42771,Оплата 11 встречи группы чтений,Счёт/служебное,5.0,https://mig.institute/product/oplata-11-vstrechi-gruppy-chtenij/
42770,"Оплата группы «Я, деньги и то, что между нами» (4 встреча)",Терапевтические группы,35.0,https://mig.institute/product/oplata-gruppy-ya-dengi-i-to-chto-mezhdu-nami-4-vstrecha/
42768,Оплата для Юлии (МИГ.Фест),Счёт/служебное,29.0,https://mig.institute/product/opla/
42756,Зачем терапевту знать теорию?,Прочее,0.0,https://mig.institute/product/znat-teoriyu/
42746,Оплата 14 модуля по психиатрии для Елизаветы,Счёт/служебное,40.0,https://mig.institute/product/oplata-14-modulya-po-psihiatrii-dlya-elizavety/
42745,Оплата 14 модуля по психиатрии,Счёт/служебное,38.0,https://mig.institute/product/oplata-14-modulya-po-psihiatrii/
42736,Предоплата для Эльвиры (Базовый курс),Счёт/служебное,50.0,https://mig.institute/product/pr/
42734,Оплата для Динары (2 м. Теории личности и развития),Счёт/служебное,56.0,https://mig.institute/product/o-9/
42679,Как гештальт-терапия работает с сексуальными дисфункциями,Прочее,0.0,https://mig.institute/product/sexualnie_disfunkcii/
42716,Зачем психологам философия?,Тематические курсы,0.0,https://mig.institute/product/zachem-psihologam-filosofiya-6aug/
42708,Оплата Клинические разборы 1 встреча (30% скидка),Семинары/воркшопы,52.0,https://mig.institute/product/oplata-klinicheskie-razbory-1-vstrecha-30-skidka/
42669,"Оплата группы «Я, деньги и то, что между нами» (3 встреча)",Терапевтические группы,35.0,https://mig.institute/product/oplata-gruppy-ya-dengi-i-to-chto-mezhdu-nami-3-vstrecha/
42658,"Оплата для Дарьи («Психиатрия для психологов», 13 модуль)",Счёт/служебное,38.0,https://mig.institute/product/oplata-dlya-dari-psihiatriya-dlya-psihologov-13-modul/
42657,"Оплата для Елизаветы («Психиатрия для психологов», 13 модуль)",Счёт/служебное,40.0,https://mig.institute/product/oplata-dlya-elizavety-psihiatriya-dlya-psihologov-12-modul-2/
42656,"Оплата для Алёны («Психиатрия для психологов», 13 модуль)",Счёт/служебное,38.0,https://mig.institute/product/oplata-dlya-alyony-psihiatriya-dlya-psihologov-13-modul/
42653,Оплата курса Теории личности развития (20% скидка),Счёт/служебное,420.0,https://mig.institute/product/oplata-kursa-teorii-lichnosti-razvitiya-20-skidka/
42626,Оплата 9 встречи супервизорской группы,Супервизия,30.0,https://mig.institute/product/oplata-8-vstrechi-supervizorskoj-gruppy-2/
42621,Доплата 2й день сертификации,Счёт/служебное,20.0,https://mig.institute/product/doplata-2j-den-sertifikaczii/
42617,Доплата для Ирады (сертификация),Счёт/служебное,20.0,https://mig.institute/product/dop/
42547,Оплата для Яны (группа чтений),Счёт/служебное,4.0,https://mig.institute/product/oplata-6/
42546,Оплата для Константина (тест-драйв 22.07),Счёт/служебное,10.0,https://mig.institute/product/oplata-dlya-konstantina-test-drajv-22-07/
42544,Оплата для Марины (сертификация),Счёт/служебное,30.0,https://mig.institute/product/ol/
42542,"Оплата для Марьям (сертификация, аквариум)",Счёт/служебное,50.0,https://mig.institute/product/oplata-dlya-maryam-sertifikacziya-akvarium/
42531,Четыре лекции по гештальт-сексологии — бесплатно,Семинары/воркшопы,0.0,https://mig.institute/product/chetyre-lekczii-po-geshtalt-seksologii-besplatno/
42530,Оплата 10й встречи Чтения,Счёт/служебное,5.0,https://mig.institute/product/oplata-10j-vstrechi-chteniya/
42522,Оплата для Рады (4 модуль Групповая),Счёт/служебное,100.0,https://mig.institute/product/oplata-dlya-rady-4-modul-gruppovaya/
42520,Оплата Групповая ГТ (4 модуль),Терапевтические группы,170.0,https://mig.institute/product/oplata-gruppovaya-gt-4-modul/
42519,Групповая ГТ (4 модуль),Терапевтические группы,180.0,https://mig.institute/product/gruppovaya-gt-4-modul/
42516,Оплата 4 модуль (Групповая ГТ),Счёт/служебное,200.0,https://mig.institute/product/o-8/
42500,"Оплата для Дарьи («Психиатрия для психологов», 12 модуль)",Счёт/служебное,38.0,https://mig.institute/product/oplata-dlya-dari-psihiatriya-dlya-psihologov-12-modul/
42498,"Оплата для Елизаветы («Психиатрия для психологов», 12 модуль)",Счёт/служебное,40.0,https://mig.institute/product/oplata-dlya-elizavety-psihiatriya-dlya-psihologov-12-modul/
